CatalogNo,FromDatabase,ComparedStatus,Latitude,Longitude,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,Region,AvgNoteDuration_ms,AvgNotesFreqModulation_Hz,AvgNotesLowerFreq_Hz,AvgNotesUpperFreq_Hz,AvgSilenceDuration_ms,AvgSyllableDuration_ms,AvgSyllsFreqModulation_Hz,AvgSyllsLowerFreq_Hz,AvgSyllsUpperFreq_Hz,BoutDuration_ms,MeanSyllableStereotypy,NumNotesPerSyll,NumSyllablePerBoutDuration,NumSyllables,StdNoteDuration_ms,StdNotesFreqModulation_Hz
166.1.9,Borror Laboratory of Bioacoustics,unique,41.652352,-83.517167,4,5,1950,0.302083333,east,2.770602624,7.005725395,8.415323651,8.626170317,3.5113085,4.143277124,7.885820418,8.175959063,8.727581444,7.689843191,61.57976259,0.776528789,-4.554348943,3.135494216,1.559171649,456.6712329
273.8.9,Borror Laboratory of Bioacoustics,unique,39.961176,-82.998794,10,4,1952,0.385416667,east,2.747999671,7.554922109,8.415798411,8.761709939,3.187508751,3.503165908,8.01782218,8.3113887,8.862418431,7.848134492,66.78345011,0.704197017,-4.041472,3.80666249,1.918780356,762.4109552
372.4.5,Borror Laboratory of Bioacoustics,use,39.961176,-82.998794,6,4,1953,0.263888889,east,3.432546679,7.661429719,8.579703217,8.909821096,3.115277424,4.257524649,8.195265146,8.33073353,8.95289382,7.783224016,66.83154198,0.712195375,-4.525127509,3.258096538,3.230074163,1082.812426
413.2.4,Borror Laboratory of Bioacoustics,unique,41.652352,-83.517167,19,4,1953,0.381944444,east,2.571575032,7.507416152,8.413799551,8.746299437,3.366139655,3.337318102,7.894217948,8.27522851,8.789381133,7.862533855,80.3513593,0.671168274,-4.033892435,3.828641396,1.15493289,349.700675
414.4.7,Borror Laboratory of Bioacoustics,duplicate,39.961176,-82.998794,26,4,1953,0.25,east,3.593767667,7.588939239,8.408891086,8.767175881,3.245723075,4.137724858,7.969080857,8.34399864,8.861078897,7.838418422,75.33925206,0.416893804,-4.471122627,3.36729583,3.025562114,1083.083662
508.4.6,Borror Laboratory of Bioacoustics,unique,41.554104,-83.066011,18,5,1953,0.270833333,east,3.116747858,7.254582204,8.40202065,8.67036932,3.617532874,3.773620683,7.718061519,8.299822419,8.73693447,7.933853766,65.36027826,0.649344558,-4.37850572,3.555348061,2.403674285,535.2701198
797.3.8,Borror Laboratory of Bioacoustics,unique,41.652352,-83.517167,1,5,1954,0.286111111,east,3.064167443,8.164753747,8.330613572,8.938641313,3.066534207,3.817871574,8.549370145,8.223446491,9.087929223,8.025962683,79.59320789,0.703958096,-4.197321255,3.828641396,1.949391006,1060.227944
799.1.4,Borror Laboratory of Bioacoustics,unique,41.652352,-83.517167,1,5,1954,0.291666667,east,3.175683996,8.020750149,8.377648062,8.902352991,3.037642112,3.175683996,8.020750149,8.377648062,8.902352991,7.83704058,79.13569689,0,-3.79398929,4.043051268,0.578128089,195.5311359
952.7.9,Borror Laboratory of Bioacoustics,unique,41.652352,-83.517167,3,5,1954,0.342361111,east,3.552085685,8.19117584,8.229204852,8.89765942,3.082432366,3.608506004,8.23812885,8.20570318,8.909403956,8.016893981,81.5586948,0.056089467,-4.065650289,3.951243719,1.792691899,608.0305057
953.4.5,Borror Laboratory of Bioacoustics,unique,41.652352,-83.517167,3,5,1954,0.354166667,east,3.268734045,7.564000291,8.432492293,8.776243301,3.447717397,4.147709783,8.221167637,8.087305961,8.843437866,7.756412759,78.1085493,0.841567186,-4.537536958,3.218875825,2.458240505,1319.213468
