Accession Numbers	Haplotype	Country	Sampling Site	Latitude	Longitude
AY862812.1	F	Mexico	OAX	17.38379	-97.7659
AY862812.1	F	Mexico	OAX	17.38379	-97.7659
AY862812.1	F	Mexico	OAX	17.38379	-97.7659
AY862812.1	F	Mexico	OAX	17.38379	-97.7659
AY862812.1	F	Mexico	OAX	17.38379	-97.7659
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	JAL	19.58654	-104.30748
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	DGO	24.9466	-105.92033
AY862812.1	F	Mexico	CHIH	26.46712	-106.38812
AY862812.1	F	Mexico	CHIH	26.46712	-106.38812
AY862812.1	F	Mexico	CHIH	26.46712	-106.38812
AY862812.1	F	Mexico	CHIH	26.46712	-106.38812
AY862812.1	F	Mexico	CHIH	26.46712	-106.38812
AY862812.1	F	Mexico	CHIH	26.46712	-106.38812
AY862812.1	F	Mexico	CHIH	26.46712	-106.38812
AY862812.1	F	Mexico	CHIH	26.46712	-106.38812
