CatalogNo,FileName,SyllableNumber,Category,Subcategory,ClusterNo,ClusterNoAdjusted
105316,105316 s1 bout,25,downup,short,1,1
13618.1,13618.1 bout,29,downup,short,1,1
15441,15441 s1 bout,41,downup,short,1,1
1_395655442_4_27_13_3_42,1_395655442_4_27_13_3_42 bout,107,downup,short,1,1
1_395667424_4_28_17_49_4,1_395667424_4_28_17_49_4 bout,208,downup,short,1,1
2053,2053 bout,213,downup,short,1,1
22880,22880 s1 bout,219,downup,short,1,1
10903,10903 bout,228,downup,short,1,1
273.8.9,273.8.9 bout,241,downup,short,1,1
3328.5.6,3328.5.6 bout,270,downup,short,1,1
3663,3663 bout,302,downup,short,1,1
10937,10937 bout,320,downup,short,1,1
4208,4208 bout,335,downup,short,1,1
5880.5.6,5880.5.6 bout,367,downup,short,1,1
6613,6613 bout,386,downup,short,1,1
7086,7086 bout,402,downup,short,1,1
8488.1.3,8488.1.3 bout,466,downup,short,1,1
8591,8591 bout,470,downup,short,1,1
9709bPufftonnewLI,9709bPufftonnewLI bout,509,downup,short,1,1
11686.1.4,11686.1.4 bout,517,downup,short,1,1
9938,9938 bout,539,downup,short,1,1
12a,12a bout,581,downup,short,1,1
11970.1.2,11970.1.2 bout,599,downup,short,1,1
29405651,29405651_b7of10_bird1,627,downup,short,1,1
53021931,53021931_b2of2,647,downup,short,1,1
54245591,54245591_b1of1,653,downup,short,1,1
56682831,56682831_b1of2,678,downup,short,1,1
58237601,58237601_b3of9,691,downup,short,1,1
22881,22881_44k_b1of3,725,downup,short,1,1
179382,179382_44k_b4of8,767,downup,short,1,1
XC16984,XC16984_b5of7,799,downup,short,1,1
XC102952,XC102952_b1of5,812,downup,short,1,1
XC314922,XC314922_b3of6,895,downup,short,1,1
75281061,75281061_b5of6,943,downup,short,1,1
15434,15434_b9of32,957,downup,short,1,1
31,31 s1 bout,256,downup,short,2,2
11898,11898 bout,522,downup,short,2,2
55863891,55863891_b1of3,670,downup,short,2,2
XC125194,XC125194_b20of41,833,downup,short,2,2
10651.3.4,10651.3.4 bout,28,downup,long,3,3
15467.8.9,15467.8.9 bout,45,downup,long,3,3
15912.3.5,15912.3.5 bout,49,downup,long,3,3
107969,107969 s1 bout,222,downup,long,3,3
2645.1,2645.1 bout,239,downup,long,3,3
29060,29060 bout,246,downup,long,3,3
29345,29345 bout,249,downup,long,3,3
4128.1.2,4128.1.2 bout,331,downup,long,3,3
7083,7083 bout,401,downup,long,3,3
8147,8147 bout,453,downup,long,3,3
12274.1.2,12274.1.2 bout,571,downup,long,3,3
9028.1.4,9028.1.4_b2of2,601,downup,long,3,3
59078691,59078691_b3of7,694,downup,long,3,3
XC104707,XC104707_b1of7,813,downup,long,3,3
XC125188,XC125188_b6of9,830,downup,long,3,3
XC163938,XC163938_b1of2,848,downup,long,3,3
15430,15430_b6of7,955,downup,long,3,3
15437,15437 s1 bout,38,downup,long,4,4
1_395645442_4_26_13_3_40,1_395645442_4_26_13_3_40 bout,96,downup,long,4,4
106965,106965 s1 bout,127,downup,long,4,4
1_395664260_4_28_10_13_30,1_395664260_4_28_10_13_30 bout,161,downup,long,4,4
1_395667381_4_28_17_42_52,1_395667381_4_28_17_42_52 bout,204,downup,long,4,4
10895,10895 bout,225,downup,long,4,4
797.3.8,797.3.8 bout,440,downup,long,4,4
9207,9207 bout,481,downup,long,4,4
9708bQuabbinRR,9708bQuabbinRR bout,505,downup,long,4,4
9709bQuabbinSkew,9709bQuabbinSkew bout,513,downup,long,4,4
64240,64240_44k_b3of5,733,downup,long,4,4
